title,author,year_written,year_published
ОБРАЗ ПРИМИРЕНІЯ ГРІШНАГО ЧЕЛОВІКА С БОГОМ,Торжевський Й. Т.,,1756
КРАТКОЕ ПОТРЕБНІЙШИХ ОТ ГРАММАТІЧЕСКАГО ХУДОЖЕСТВА ВЕЩЕЙ СОБРАНІЕ...,[Любович М.],,1773
[КНИЖИЦЯ ДЛЯ ГОСПОДАРСТВА],[Ленкевич І.],,1788
ЖИТІЕ БЛАЖЕННАГО ОТЦА НАШЕГО ІОВА ЖЕЛІЗА,Досифей,,1791
НАУКИ ПАРОХІАЛНІЯ НА НЕДІЛИ И СВЯТА УРОЧИСТЫЯ ЦІЛОГО РОКУ,Добриловський Ю.,,1792
ЕНЕИДА НА МАЛОРОССІЙСКІЙ ЯЗЫК ПЕРЕЛИЦЇОВАННАЯ И. КОТЛЯРЕВСКИМ,Котляревський І. П.,,1798
КОБЗАРЬ,Шевченко Т. Г.,,1840
ТАРАСОВА НІЧ,Шевченко Т. Г.,,1860
ТОПОЛЯ,Шевченко Т. Г.,,1860
ПСАЛМИ ДАВИДОВИ,Шевченко Т. Г.,,1860
НАЙМИЧКА,Шевченко Т. Г.,,1860
УКРАЇНСЬКІ КОЛЯДКИ І ЩЕДРІВКИ,Стеценко К. Г.,,1917
