title,author,year_written,year_published
Харьковскій Демокритъ,,1816,
Одеський вісник,,1827,
Конотопська відьма,Григорій Квітка-Основ'яненко,1833,1837.0
Маруся,Григорій Квітка-Основ'яненко,1832,1834.0
Галицьке Товариство Музичне,,1838,
Шельменко-денщик,Григорій Квітка-Основ'яненко,1830,1840.0
Кобзар,Шевченко Тарас Григорович,1840,1840.0
Зоря Галицка,,1848,
Сон,Шевченко Тарас Григорович,1844,
Кавказ,Шевченко Тарас Григорович,1845,
Чорна рада (роман),Пантелеймон Куліш,1846,
Кобзарь,Шевченко Тарас Григорович,1847,
У тієї Катерини,Шевченко Тарас Григорович,1848,
Наймичка,Шевченко Тарас Григорович,1845,1857.0
Зацвіла в долині,Шевченко Тарас Григорович,1849,
Вістник для Русинів Австрійської Держави,,1849,
Шельменко-денщик,Григорій Квітка-Основ'яненко,1830,1840.0
Запорожець за Дунаєм,,1861,1850.0
Катерина,,1891,1850.0
Наталка Полтавка,,1889,1850.0
Різдв’яна ніч,,1873,1850.0
Максим Гримач,Марко Вовчок,1857,
Наймичка,Шевченко Тарас Григорович,1845,1857.0
Во Іудеї во дні они…,Шевченко Тарас Григорович,1859,
Запорожець за Дунаєм,,1861,1850.0
Вечерниці,,1862,
Люборацькі,Анатоль Свидницький,1861,
Ярошенко,Маковей Осип Степанович,1867,
Маруся,Марко Вовчок,1860,1871.0
Каменярі,Іван Франко,1878,
Русалка (поема),Леся Українка,1877,1887.0
"Хіба ревуть воли, як ясла повні?",Панас Мирний,1875,
Різдв’яна ніч,,1873,1850.0
Чорноморці,,1872,
Маруся,Марко Вовчок,1860,1871.0
Boa constrictor,Іван Франко,1877,1878.0
"Як ковбаса та чарка, то минеться й сварка",Михайло Старицький,1872,
Кіевская старина,,1882,
Наталка Полтавка,,1889,1850.0
Молитва за Україну,,1885,1885.0
Тарас Бульба,,1880,1924.0
Захар Беркут,Іван Франко,1882,1883.0
За двома зайцями,Михайло Старицький,1883,1883.0
Мартин Боруля,Іван Карпенко-Карий,1886,
Сборник Харьковского историко-филологического общества,,1886,
Русалка (поема),Леся Українка,1877,1887.0
Утоплена,,1883,
По ревізії,Кропивницький Марко Лукич,1882,1885.0
Коза-дереза,,1888,
Pershyi vinok,,1887,
Пані Шумінська,Наталя Кобринська,1883,1887.0
Катерина,,1891,1850.0
Літературно-науковий вістник,,1898,
